disease,species,module_id,human_edge,target_edge
PD,yeast,8,RPS8 - MRPL47,RPS8A-MRPL4
PD,yeast,8,RPS8 - MRPS35,RPS8A-RSM24
PD,yeast,8,RPS8 - MRPS5,RPS8A-MRPS5
PD,yeast,8,RPS8 - MYBBP1A,RPS8A-POL5
PD,yeast,8,RPS8 - NAT10,RPS8A-KRE33
PD,yeast,8,RPS8 - NOL10,RPS8A-ENP2
PD,yeast,8,RPS8 - NOP56,RPS8A-NOP56
PD,yeast,8,RPS8 - OTUD6B,RPS8B-OTU2; RPS8A-OTU2
PD,yeast,8,RPS8 - RBM19,RPS8A-MRD1
PD,yeast,8,RPS8 - RPL10L,RPS8A-RPL10
PD,yeast,8,RPS8 - RPL11,RPS8A-MRPL7
PD,yeast,8,RPS8 - RPL15,RPS8A-RPL15A
PD,yeast,8,RPS8 - RPL18A,RPS8A-RPL20A
PD,yeast,8,RPS8 - RPL19,RPS8A-RPL19A
PD,yeast,8,RPS8 - RPL21,RPS8A-RPL21A
PD,yeast,8,RPS8 - RPL23,RPS8A-RPL23A
PD,yeast,8,RPS8 - RPL24,RPS8B-RPL24A; RPS8A-RPL24A
PD,yeast,8,RPS8 - RPL26,RPS8A-RPL26A
PD,yeast,8,RPS8 - RPL26L1,RPS8A-RPL26A
PD,yeast,8,RPS8 - RPL27,RPS8A-RPL27A
PD,yeast,8,RPS8 - RPL27A,RPS8A-RPL28
PD,yeast,8,RPS8 - RPL3,RPS8A-RPL3
PD,yeast,8,RPS8 - RPL31,RPS8A-RPL31A
PD,yeast,8,RPS8 - RPL32,RPS8A-RPL32
PD,yeast,8,RPS8 - RPL35,RPS8A-RPL35A
PD,yeast,8,RPS8 - RPL4,RPS8A-RPL4A
PD,yeast,8,RPS8 - RPL5,RPS8A-RPL5
PD,yeast,8,RPS8 - RPL8,RPS8A-RPL2A
PD,yeast,8,RPS8 - RPL9,RPS8A-RPL9A
PD,yeast,8,RPS8 - RPLP0,RPS8A-RPP0
PD,yeast,8,RPS8 - RPS12,RPS8B-RPS12; RPS8A-RPS12
PD,yeast,8,RPS8 - RPS13,RPS8B-RPS13; RPS8A-RPS13
PD,yeast,8,RPS8 - RPS14,RPS8B-RPS14A; RPS8A-RPS14A
PD,yeast,8,RPS8 - RPS15A,RPS8B-RPS22A; RPS8A-RPS22A
PD,yeast,8,RPS8 - RPS16,RPS8B-RPS16A; RPS8A-RPS16A
PD,yeast,8,RPS8 - RPS17,RPS8B-RPS17A; RPS8A-RPS17A; RPS8A-RPS17B
PD,yeast,8,RPS8 - RPS18,RPS8B-RPS18A; RPS8A-RPS18A
PD,yeast,8,RPS8 - RPS2,RPS8B-RPS2; RPS8A-RPS2
PD,yeast,8,RPS8 - RPS20,RPS8B-RPS20; RPS8A-RPS20
PD,yeast,8,RPS8 - RPS21,RPS8B-RPS21B; RPS8A-RPS21B
PD,yeast,8,RPS8 - RPS23,RPS8B-RPS23A; RPS8A-RPS23A
PD,yeast,8,RPS8 - RPS24,RPS8B-RPS24A; RPS8A-RPS24A; RPS8A-RPS24B
PD,yeast,8,RPS8 - RPS25,RPS8B-RPS25A; RPS8A-RPS25B; RPS8A-RPS25A
PD,yeast,8,RPS8 - RPS26,RPS8A-RPS26A
PD,yeast,8,RPS8 - RPS28,RPS8A-RPS28A
PD,yeast,8,RPS8 - RPS3,RPS8B-RPS3; RPS8A-RPS3
PD,yeast,8,RPS8 - RPS6,RPS8B-RPS6A; RPS8A-RPS6A; RPS8A-RPS6B
PD,yeast,8,RPS8 - RPSA,RPS8B-RPS0B; RPS8B-RPS0A; RPS8A-RPS0B; RPS8A-RPS0A
PD,yeast,8,RPS8 - TSR1,RPS8B-TSR1; RPS8A-TSR1
PD,yeast,9,VPS26A - VPS35,PEP8-VPS35
PD,yeast,9,VPS29 - VPS35,VPS29-VPS35
PD,yeast,9,VPS35 - VPS26B,VPS35-PEP8
PD,yeast,10,OMA1 - HSPA9,OMA1-SSC1
PD,yeast,10,HSPA9 - ACO2,SSC1-ACO1
PD,yeast,10,HSPA9 - DNAJC19,SSC1-PAM18
PD,yeast,10,HSPA9 - DNLZ,SSC1-ZIM17
PD,yeast,10,HSPA9 - EIF4E,SSC1-CDC33
PD,yeast,10,HSPA9 - GAPDH,SSC1-TDH2; SSC1-TDH3; SSC1-TDH1
PD,yeast,10,HSPA9 - GRPEL1,SSC1-MGE1; ECM10-MGE1
PD,yeast,10,HSPA9 - HSPD1,SSC1-HSP60
PD,yeast,10,HSPA9 - PRDX3,SSC1-TSA1
PD,yeast,10,HSPA9 - TIMM44,SSC1-TIM44
PD,yeast,10,HSPA9 - TRAP1,SSC1-HSP82; SSC1-HSC82
PD,yeast,10,ENO1 - ENO2,ENO1-ENO2; ENO2-ENO1; ENO2-ERR1; ERR1-ENO2
PD,yeast,10,ENO2 - ENO3,ENO1-ENO2; ENO2-ENO1; ENO2-ERR1; ERR1-ENO2
PD,yeast,10,ALDH1B1 - ALDH2,ALD3-ALD2; ALD4-ALD5; ALD2-ALD3; ALD5-ALD4
PD,yeast,10,ALDH1A2 - ALDH2,ALD3-ALD2; ALD4-ALD5; ALD2-ALD3; ALD5-ALD4
PD,yeast,10,HSPD1 - ALDH2,HSP60-ALD4
PD,yeast,10,LDHB - ALDH2,MDH1-ALD4; MDH1-ALD5
PD,yeast,10,ALDH1A1 - ALDH2,ALD3-ALD2; ALD4-ALD5; ALD2-ALD3; ALD5-ALD4
PD,yeast,10,ALDH2 - ALDH6A1,ALD3-ALD2; ALD2-ALD3; ALD5-ALD4
PD,yeast,13,SYNJ1 - AMPH,INP53-RVS167
PD,yeast,13,GAK - CLTC,SWA2-CHC1
PD,yeast,14,HSPH1 - HSPA1A,SSE2-SSE1; SSE1-SSE2
PD,yeast,14,PSMD14 - HSPA1A,RPN11-SSE1
PD,yeast,14,TOMM34 - HSPA1A,STI1-SSE2; STI1-SSE1
PD,yeast,14,CTPS1 - HSPA1A,URA7-SSE1
PD,yeast,14,MAPK7 - HSPA1A,SLT2-SSE1
PD,yeast,14,HSPA1L - HSPA1A,LHS1-SSE1; SSE2-SSE1; SSE1-SSE2
PD,yeast,17,HMGCR - INSIG1,HMG1-NSG1; HMG2-NSG1
PD,yeast,18,RPS6KA1 - MAPK3,KIN82-SKY1
PD,yeast,18,ATF2 - MAPK1,SKO1-SLT2
PD,yeast,18,RPS6KA6 - MAPK3,KIN82-SKY1
PD,yeast,18,RPS6KA3 - MAPK3,KIN82-SKY1
PD,yeast,18,MAP2K2 - MAPK1,MKK1-SLT2; MKK2-KDX1; MKK2-SLT2
PD,yeast,18,MAP2K2 - MAPK3,MKK1-SLT2; MKK2-KDX1; MKK2-SLT2
PD,yeast,18,RPS6KA2 - MAPK3,KIN82-SKY1
PD,yeast,18,FBP1 - USP7,FBP1-UBP14
PD,fly,2,RFC1 - PCNA,Gnf1-PCNA
PD,fly,2,RFC1 - RFC2,Gnf1-RfC4
PD,fly,2,RFC1 - RFC3,Gnf1-RfC38
PD,fly,2,RFC1 - RFC4,Gnf1-CG8142
PD,fly,2,RFC1 - RFC5,Gnf1-RfC3
PD,fly,2,RFC1 - XRCC5,Gnf1-Ku80
PD,fly,2,RFC1 - XRCC6,Gnf1-Irbp
PD,fly,2,MBD3L1 - MTA1,MBD-like-MTA1-like
PD,fly,2,MBD3L2 - MTA1,MBD-like-MTA1-like
PD,fly,2,MTA1 - MBD2,MTA1-like-MBD-like
PD,fly,2,MTA1 - MBD3,MTA1-like-MBD-like
PD,fly,3,BAG5 - HSPA2,stv-Hsc70-4
PD,fly,4,TOMM20 - PINK1,Tom20-Pink1
PD,fly,4,PINK1 - HTRA2,Pink1-HtrA2
PD,fly,4,PINK1 - CLUH,Pink1-clu
PD,fly,4,PINK1 - PGAM5,Pink1-Pgam5
PD,fly,4,HTRA2 - OPA1,HtrA2-Opa1
PD,fly,5,SQSTM1 - HTT,ref(2)P-htt
PD,fly,7,MED12 - VDR,kto-EcR
PD,fly,7,MED14 - VDR,MED14-EcR
PD,fly,7,RXRB - VDR,usp-EcR
PD,fly,7,NCOA1 - VDR,tai-EcR
PD,fly,7,VDR - CCND3,EcR-CycD; EcR-CycA
PD,fly,7,VDR - COPS2,EcR-alien
PD,fly,7,VDR - CREBBP,EcR-nej
PD,fly,7,VDR - HNF4A,EcR-usp
PD,fly,7,VDR - MED1,EcR-MED1
PD,fly,7,VDR - MED13,EcR-skd
PD,fly,7,VDR - NCOA2,EcR-tai
PD,fly,7,VDR - NCOA3,EcR-tai
PD,fly,7,VDR - RXRA,EcR-usp
PD,fly,7,VDR - RXRG,EcR-usp
PD,fly,7,PSMC5 - ESR2,Rpt6-ERR
PD,fly,7,NR4A2 - RXRA,Hr38-usp
PD,fly,8,RPS11 - RPS8,RpS11-RpS8
PD,fly,8,RPS11 - RPL14,RpS11-RpL14
PD,fly,8,RPS11 - RPL6,RpS11-RpL6
PD,fly,8,RPLP2 - RPS8,RpLP2-RpS8
PD,fly,8,RPLP2 - RPL14,RpLP2-RpL14
PD,fly,8,RPLP2 - RPL6,RpLP2-RpL6
PD,fly,8,RPS9 - RPS8,RpS9-RpS8
PD,fly,8,RPS9 - RPL14,RpS9-RpL14
PD,fly,8,RPS9 - RPL6,RpS9-RpL6
PD,fly,8,RPL6 - RPS8,RpL6-RpS8
PD,fly,8,RPL6 - RPL14,RpL6-RpL14
PD,fly,8,RPL6 - RPL10,RpL6-RpL10
PD,fly,8,RPL6 - RPL10A,RpL6-RpL10Ab
PD,fly,8,RPL6 - RPL11,RpL6-RpL11
PD,fly,8,RPL6 - RPL12,RpL6-RpL12
PD,fly,8,RPL6 - RPL13,RpL6-RpL13
PD,fly,8,RPL6 - RPL15,RpL6-RpL15
PD,fly,8,RPL6 - RPL17,RpL6-RpL17
PD,fly,8,RPL6 - RPL18,RpL6-RpL18
PD,fly,8,RPL6 - RPL18A,RpL6-RpL18A
PD,fly,8,RPL6 - RPL19,RpL6-RpL19
PD,fly,8,RPL6 - RPL21,RpL6-RpL21
PD,fly,8,RPL6 - RPL23,RpL6-RpL23
PD,fly,8,RPL6 - RPL24,RpL6-RpL24
PD,fly,8,RPL6 - RPL26L1,RpL6-RpL26
PD,fly,8,RPL6 - RPL27,RpL6-RpL27
PD,fly,8,RPL6 - RPL27A,RpL6-RpL27A
PD,fly,8,RPL6 - RPL28,RpL6-RpL28
PD,fly,8,RPL6 - RPL29,RpL6-RpL29
PD,fly,8,RPL6 - RPL3,RpL6-RpL3
PD,fly,8,RPL6 - RPL30,RpL6-RpL30
PD,fly,8,RPL6 - RPL31,RpL6-RpL31
PD,fly,8,RPL6 - RPL35,RpL6-RpL35
PD,fly,8,RPL6 - RPL35A,RpL6-RpL35A
PD,fly,8,RPL6 - RPL38,RpL6-RpL38
PD,fly,8,RPL6 - RPL3L,RpL6-RpL3
PD,fly,8,RPL6 - RPL4,RpL6-RpL4
PD,fly,8,RPL6 - RPL5,RpL6-RpL5
PD,fly,8,RPL6 - RPL7,RpL6-RpL7
PD,fly,8,RPL6 - RPL7A,RpL6-RpL7A
PD,fly,8,RPL6 - RPL8,RpL6-RpL8
PD,fly,8,RPL6 - RPL9,RpL6-RpL9
PD,fly,8,RPL6 - RPLP0,RpL6-RpLP0
PD,fly,8,RPL6 - RPLP1,RpL6-RpLP1
PD,fly,8,RPL6 - RPS12,RpL6-RpS12
PD,fly,8,RPL6 - RPS13,RpL6-RpS13
PD,fly,8,RPL6 - RPS14,RpL6-RpS14a; RpL6-RpS14b
PD,fly,8,RPL6 - RPS15,RpL6-RpS15
PD,fly,8,RPL6 - RPS15A,RpL6-RpS15Aa
PD,fly,8,RPL6 - RPS16,RpL6-RpS16
PD,fly,8,RPL6 - RPS17,RpL6-RpS17
PD,fly,8,RPL6 - RPS2,RpL6-RpS2
PD,fly,8,RPL6 - RPS20,RpL6-RpS20
PD,fly,8,RPL6 - RPS23,RpL6-RpS23
PD,fly,8,RPL6 - RPS25,RpL6-RpS25
PD,fly,8,RPL6 - RPS26,RpL6-RpS26
PD,fly,8,RPL6 - RPS3,RpL6-RpS3
PD,fly,8,RPL6 - RPS3A,RpL6-RpS3A
PD,fly,8,RPL6 - RPS4X,RpL6-RpS4
PD,fly,8,RPL6 - RPS5,RpL6-RpS5a
PD,fly,8,RPL6 - RPS6,RpL6-RpS6
PD,fly,8,RPL6 - RPS7,RpL6-RpS7
PD,fly,8,RPL6 - RPSA,RpL6-sta
PD,fly,8,RPL6 - RSL1D1,RpL6-RpL7A
PD,fly,8,RPL10 - RPS8,RpL10-RpS8
PD,fly,8,RPL10 - RPL14,RpL10-RpL14
PD,fly,8,RPS5 - RPS8,RpS5a-RpS8
PD,fly,8,RPS5 - RPL14,RpS5a-RpL14
PD,fly,8,RPL14 - RPS8,RpL14-RpS8
PD,fly,8,RPL14 - RPL10A,RpL14-RpL10Ab
PD,fly,8,RPL14 - RPL11,RpL14-RpL11
PD,fly,8,RPL14 - RPL12,RpL14-RpL12
PD,fly,8,RPL14 - RPL13,RpL14-RpL13
PD,fly,8,RPL14 - RPL13A,RpL14-RpL13A
PD,fly,8,RPL14 - RPL15,RpL14-RpL15
PD,fly,8,RPL14 - RPL17,RpL14-RpL17
PD,fly,8,RPL14 - RPL18,RpL14-RpL18
PD,fly,8,RPL14 - RPL18A,RpL14-RpL18A
PD,fly,8,RPL14 - RPL19,RpL14-RpL19
PD,fly,8,RPL14 - RPL21,RpL14-RpL21
PD,fly,8,RPL14 - RPL23,RpL14-RpL23
PD,fly,8,RPL14 - RPL24,RpL14-RpL24
PD,fly,8,RPL14 - RPL26L1,RpL14-RpL26
PD,fly,8,RPL14 - RPL27,RpL14-RpL27
PD,fly,8,RPL14 - RPL27A,RpL14-RpL27A
PD,fly,8,RPL14 - RPL28,RpL14-RpL28
PD,fly,8,RPL14 - RPL3,RpL14-RpL3
PD,fly,8,RPL14 - RPL30,RpL14-RpL30
PD,fly,8,RPL14 - RPL31,RpL14-RpL31
PD,fly,8,RPL14 - RPL35,RpL14-RpL35
PD,fly,8,RPL14 - RPL35A,RpL14-RpL35A
PD,fly,8,RPL14 - RPL38,RpL14-RpL38
PD,fly,8,RPL14 - RPL4,RpL14-RpL4
PD,fly,8,RPL14 - RPL5,RpL14-RpL5
PD,fly,8,RPL14 - RPL7,RpL14-RpL7
PD,fly,8,RPL14 - RPL7A,RpL14-RpL7A
PD,fly,8,RPL14 - RPL8,RpL14-RpL8
PD,fly,8,RPL14 - RPL9,RpL14-RpL9
PD,fly,8,RPL14 - RPLP0,RpL14-RpLP0
PD,fly,8,RPL14 - RPLP1,RpL14-RpLP1
PD,fly,8,RPL14 - RPS12,RpL14-RpS12
PD,fly,8,RPL14 - RPS13,RpL14-RpS13
PD,fly,8,RPL14 - RPS14,RpL14-RpS14a; RpL14-RpS14b
PD,fly,8,RPL14 - RPS15A,RpL14-RpS15Aa
PD,fly,8,RPL14 - RPS16,RpL14-RpS16
PD,fly,8,RPL14 - RPS17,RpL14-RpS17
PD,fly,8,RPL14 - RPS18,RpL14-RpS18
PD,fly,8,RPL14 - RPS2,RpL14-RpS2
PD,fly,8,RPL14 - RPS20,RpL14-RpS20
PD,fly,8,RPL14 - RPS23,RpL14-RpS23
PD,fly,8,RPL14 - RPS24,RpL14-RpS24
PD,fly,8,RPL14 - RPS25,RpL14-RpS25
PD,fly,8,RPL14 - RPS26,RpL14-RpS26
PD,fly,8,RPL14 - RPS3,RpL14-RpS3
PD,fly,8,RPL14 - RPS3A,RpL14-RpS3A
PD,fly,8,RPL14 - RPS4X,RpL14-RpS4
PD,fly,8,RPL14 - RPS6,RpL14-RpS6
PD,fly,8,RPL14 - RPS7,RpL14-RpS7
PD,fly,8,RPL14 - RPSA,RpL14-sta
PD,fly,8,RPL12 - RPS8,RpL12-RpS8
PD,fly,8,RPL18 - RPS8,RpL18-RpS8
PD,fly,8,RPL17 - RPS8,RpL17-RpS8
PD,fly,8,RPL7A - RPS8,RpL7A-RpS8
PD,fly,8,RPL30 - RPS8,RpL30-RpS8
PD,fly,8,RPS29 - RPS8,RpS29-RpS8
PD,fly,8,RPS4X - RPS8,RpS4-RpS8
PD,fly,8,RPS7 - RPS8,RpS7-RpS8
PD,fly,8,RPS8 - RPL10A,RpS8-RpL10Ab
PD,fly,8,RPS8 - RPL10L,RpS8-RpL10
PD,fly,8,RPS8 - RPL11,RpS8-RpL11
PD,fly,8,RPS8 - RPL13,RpS8-RpL13
PD,fly,8,RPS8 - RPL15,RpS8-RpL15
PD,fly,8,RPS8 - RPL18A,RpS8-RpL18A
PD,fly,8,RPS8 - RPL19,RpS8-RpL19
PD,fly,8,RPS8 - RPL21,RpS8-RpL21
PD,fly,8,RPS8 - RPL23,RpS8-RpL23
PD,fly,8,RPS8 - RPL24,RpS8-RpL24
PD,fly,8,RPS8 - RPL26,RpS8-RpL26
PD,fly,8,RPS8 - RPL26L1,RpS8-RpL26
PD,fly,8,RPS8 - RPL27,RpS8-RpL27
PD,fly,8,RPS8 - RPL27A,RpS8-RpL27A
PD,fly,8,RPS8 - RPL3,RpS8-RpL3
PD,fly,8,RPS8 - RPL31,RpS8-RpL31
PD,fly,8,RPS8 - RPL35,RpS8-RpL35
PD,fly,8,RPS8 - RPL4,RpS8-RpL4
PD,fly,8,RPS8 - RPL5,RpS8-RpL5
PD,fly,8,RPS8 - RPL7,RpS8-RpL7
PD,fly,8,RPS8 - RPL8,RpS8-RpL8
PD,fly,8,RPS8 - RPL9,RpS8-RpL9
PD,fly,8,RPS8 - RPLP0,RpS8-RpLP0
PD,fly,8,RPS8 - RPLP1,RpS8-RpLP1
PD,fly,8,RPS8 - RPS12,RpS8-RpS12
PD,fly,8,RPS8 - RPS13,RpS8-RpS13
PD,fly,8,RPS8 - RPS14,RpS8-RpS14a; RpS8-RpS14b
PD,fly,8,RPS8 - RPS15,RpS8-RpS15
PD,fly,8,RPS8 - RPS15A,RpS8-RpS15Aa
PD,fly,8,RPS8 - RPS16,RpS8-RpS16
PD,fly,8,RPS8 - RPS17,RpS8-RpS17
PD,fly,8,RPS8 - RPS18,RpS8-RpS18
PD,fly,8,RPS8 - RPS2,RpS8-RpS2
PD,fly,8,RPS8 - RPS20,RpS8-RpS20
PD,fly,8,RPS8 - RPS21,RpS8-RpS21
PD,fly,8,RPS8 - RPS23,RpS8-RpS23
PD,fly,8,RPS8 - RPS24,RpS8-RpS24
PD,fly,8,RPS8 - RPS25,RpS8-RpS25
PD,fly,8,RPS8 - RPS26,RpS8-RpS26
PD,fly,8,RPS8 - RPS28,RpS8-RpS28b
PD,fly,8,RPS8 - RPS3,RpS8-RpS3
PD,fly,8,RPS8 - RPS3A,RpS8-RpS3A
PD,fly,8,RPS8 - RPS6,RpS8-RpS6
PD,fly,8,RPS8 - RPSA,RpS8-sta
PD,fly,9,VPS29 - VPS35,Vps29-Vps35
PD,fly,9,SNX3 - VPS35,Snx3-Vps35
PD,fly,9,VPS35 - VPS26B,Vps35-Vps26
PD,fly,10,TAGLN2 - GSTO1,Chd64-GstE6
PD,fly,10,HSPA9 - DNLZ,Hsc70-5-CG12379
PD,fly,10,ENO2 - ARHGDIA,Eno-RhoGDI
PD,fly,11,EN1 - TLE3,inv-gro; en-gro
PD,fly,13,TNK2 - HSP90AB1,Ack-Hsp83
PD,fly,13,TNK2 - GRB2,Ack-drk
PD,fly,13,TNK2 - NCK1,Ack-dock
PD,fly,13,TNK2 - NCK2,Ack-dock
PD,fly,13,GRK6 - DDB1,Gprk2-pic
PD,fly,13,SYNJ1 - GRB2,Synj-drk
PD,fly,13,SYNJ1 - ITSN1,Synj-Dap160
PD,fly,14,TARDBP - FUS,TBPH-caz
PD,fly,15,JUN - CREB1,Jra-Atf6
PD,fly,17,GGA2 - IGF2R,Gga-Lerp
PD,fly,17,IGF2R - GGA1,Lerp-Gga
PD,fly,17,IGF2R - GGA3,Lerp-Gga
PD,fly,17,RAB7A - VPS13C,Rab7-Vps13
PD,fly,18,MAP2K2 - MAPK1,Dsor1-rl
PD,fly,18,MKNK2 - MAPK1,Lk6-rl
PD,fly,18,EYA4 - MAPK3,eya-nmo
PD,fly,18,MAPK1 - cic,rl-cic
COVID,mouse,0,LRP8 - APOE,Lrp8-Apoe
COVID,mouse,0,APOE - LONP1,Apoe-Lonp1
COVID,mouse,0,APOE - MAPT,Apoe-Mapt
COVID,mouse,0,APOE - ST13,Apoe-St13
COVID,mouse,0,C3 - CFI,C3-Cfi
COVID,mouse,2,OS9 - BSG,Os9-Bsg
COVID,mouse,3,TNFAIP3 - TNF,Tnfaip3-Tnf
COVID,mouse,3,TNFRSF1B - TNF,Tnfrsf1b-Tnf
COVID,mouse,3,TRADD - TNF,Tradd-Tnf
COVID,mouse,3,RIPK1 - TNF,Ripk1-Tnf
COVID,mouse,3,TBK1 - TNF,Tbk1-Tnf
COVID,mouse,3,TNF - IKBKE,Tnf-Ikbke
COVID,mouse,3,TNF - IKBKG,Tnf-Ikbkg
COVID,mouse,3,TNF - RNF31,Tnf-Rnf31
COVID,mouse,3,TNF - SHARPIN,Tnf-Sharpin
COVID,mouse,3,TNF - TNFRSF1A,Tnf-Tnfrsf1a
COVID,mouse,3,TNF - TNIP1,Tnf-Tnip1
COVID,mouse,3,TNF - ZFP36,Tnf-Zfp36
COVID,mouse,6,CASP1 - IL1B,Casp1-Il1b
COVID,mouse,6,IBTK - BTK,Ibtk-Btk
COVID,mouse,6,HCK - CBL,Hck-Cbl
COVID,mouse,6,ARID3A - BTK,Arid3a-Btk
COVID,mouse,6,BLNK - BTK,Blnk-Btk
COVID,mouse,6,IL1B - CASP8,Il1b-Casp8
COVID,mouse,10,MYH9 - ACE,Myh9-Ace
COVID,mouse,14,SDCBP - LZTFL1,Sdcbp-Lztfl1
COVID,mouse,15,SIRT1 - BCL11A,Sirt1-Bcl11a
COVID,mouse,15,NR2E1 - BCL11A,Nr2e1-Bcl11a
COVID,fly,2,SLC16A4 - BSG,out-Bsg; Sln-Bsg
COVID,fly,2,BSG - SLC16A1,Bsg-out; Bsg-Sln
BC,mouse,0,CIT - RHOA,Cit-Rhoa
BC,mouse,0,GORASP2 - NQO2,Gorasp2-Nqo2
BC,mouse,0,RHOA - ARHGAP1,Rhoa-Arhgap1
BC,mouse,0,RHOA - ARHGAP32,Rhoa-Arhgap32
BC,mouse,0,RHOA - ARHGDIA,Rhoa-Arhgdia
BC,mouse,0,RHOA - ARHGEF2,Rhoa-Arhgef2
BC,mouse,0,RHOA - DGKQ,Rhoa-Dgkq
BC,mouse,0,RHOA - Plekhg5,Rhoa-Plekhg5
BC,mouse,0,RHOA - RTKN,Rhoa-Rtkn
BC,mouse,0,RHOA - SRGAP1,Rhoa-Srgap1
BC,mouse,1,SMARCA2 - BRCA1,Smarca2-Brca1
BC,mouse,1,MORF4L1 - BRCA2,Morf4l1-Brca2
BC,mouse,1,MORF4L1 - PALB2,Morf4l1-Palb2
BC,mouse,1,KEAP1 - BRCA2,Keap1-Brca2
BC,mouse,1,KEAP1 - PALB2,Keap1-Palb2
BC,mouse,1,PALB2 - BRCA2,Palb2-Brca2
BC,mouse,1,PALB2 - BRCA1,Palb2-Brca1
BC,mouse,1,BRCA1 - BRCA2,Brca1-Brca2
BC,mouse,1,BRCA1 - ACACA,Brca1-Acaca
BC,mouse,1,BRCA1 - BARD1,Brca1-Bard1
BC,mouse,1,BRCA1 - EWSR1,Brca1-Ewsr1
BC,mouse,1,BRCA1 - EZH2,Brca1-Ezh2
BC,mouse,1,BRCA1 - POU2F1,Brca1-Pou2f1
BC,mouse,1,BRCC3 - BRCA2,Brcc3-Brca2
BC,mouse,1,MCPH1 - BRCA2,Mcph1-Brca2
BC,mouse,1,PDS5B - BRCA2,Pds5b-Brca2
BC,mouse,1,MORF4L2 - BRCA2,Morf4l2-Brca2
BC,mouse,1,BRCA2 - CDK2,Brca2-Cdk2
BC,mouse,2,HIPK2 - TP53,Hipk2-Trp53
BC,mouse,2,NDN - TP53,Ndn-Trp53
BC,mouse,2,BCL2L1 - TP53,Bcl2l1-Trp53
BC,mouse,2,UHRF2 - TP53,Uhrf2-Trp53
BC,mouse,2,ANKRD2 - TP53,Ankrd2-Trp53
BC,mouse,2,MDM4 - TP53,Mdm4-Trp53
BC,mouse,2,RPL11 - TP53,Rpl11-Trp53
BC,mouse,2,TMUB1 - TP53,Tmub1-Trp53
BC,mouse,2,DAPK1 - TP53,Dapk1-Trp53
BC,mouse,2,CCNG1 - TP53,Ccng1-Trp53
BC,mouse,2,PIAS2 - TP53,Pias2-Trp53
BC,mouse,2,CUL9 - TP53,Cul9-Trp53
BC,mouse,2,CUL7 - TP53,Cul7-Trp53
BC,mouse,2,RNF128 - TP53,Rnf128-Trp53
BC,mouse,3,GAB1 - MET,Gab1-Met
BC,mouse,3,SRC - EGFR,Src-Egfr
BC,mouse,3,ERBB2 - EGFR,Erbb2-Egfr
BC,mouse,3,IRS1 - PIK3CA,Irs1-Pik3ca
BC,mouse,3,FGD5 - EGFR,Fgd5-Egfr
BC,mouse,3,PTPRA - EGFR,Ptpra-Egfr
BC,mouse,3,LRP1 - EGFR,Lrp1-Egfr
BC,mouse,3,AP2A1 - EGFR,Ap2a1-Egfr
BC,mouse,3,EGFR - ARHGEF7,Egfr-Arhgef7
BC,mouse,3,EGFR - CBL,Egfr-Cbl
BC,mouse,3,EGFR - EPS15,Egfr-Eps15
BC,mouse,3,EGFR - GRB2,Egfr-Grb2
BC,mouse,3,EGFR - NTRK2,Egfr-Ntrk2
BC,mouse,3,EGFR - PTPN11,Egfr-Ptpn11
BC,mouse,3,EGFR - VAV1,Egfr-Vav1
BC,mouse,3,GRB7 - RET,Grb7-Ret
BC,mouse,3,GRB2 - MET,Grb2-Met
BC,mouse,3,MET - GRIN2B,Met-Grin2b
BC,mouse,3,PIK3CA - PIK3R1,Pik3ca-Pik3r1
BC,mouse,3,ALK - RET,Alk-Ret
BC,mouse,3,RET - DOK1,Ret-Dok1
BC,mouse,3,RET - GFRA1,Ret-Gfra1
BC,mouse,3,RET - PIK3R1,Ret-Pik3r1
BC,mouse,4,DDB1 - STAT1,Ddb1-Stat1
BC,mouse,4,IFNGR1 - STAT1,Ifngr1-Stat1
BC,mouse,4,ATF3 - STAT1,Atf3-Stat1
BC,mouse,4,JAK1 - STAT1,Jak1-Stat1
BC,mouse,4,Rnf220 - STAT1,Rnf220-Stat1
BC,mouse,5,FASN - CAV1,Fasn-Cav1
BC,mouse,5,CAV1 - ATG5,Cav1-Atg5
BC,mouse,5,CAV1 - FLOT1,Cav1-Flot1
BC,mouse,5,IKBKB - TFRC,Ikbkb-Tfrc
BC,mouse,5,TFRC - GABARAP,Tfrc-Gabarap
BC,mouse,6,POU4F1 - ESR1,Pou4f1-Esr1
BC,mouse,6,GRIP1 - ESR1,Grip1-Esr1
BC,mouse,6,POU4F2 - ESR1,Pou4f2-Esr1
BC,mouse,6,CREBBP - ESR1,Crebbp-Esr1
BC,mouse,6,SIRT1 - HNF1A,Sirt1-Hnf1a
BC,mouse,6,HNF1A - HNF1B,Hnf1a-Hnf1b
BC,mouse,6,HNF1A - PCBD1,Hnf1a-Pcbd1
BC,mouse,6,HNF1A - PCBD2,Hnf1a-Pcbd2
BC,mouse,6,THRB - ACTA2,Thrb-Acta2
BC,mouse,6,THRB - NCOA6,Thrb-Ncoa6
BC,mouse,6,THRB - NCOR1,Thrb-Ncor1
BC,mouse,6,PPP1CC - ESR1,Ppp1cc-Esr1
BC,mouse,6,SMARCE1 - ESR1,Smarce1-Esr1
BC,mouse,6,KDM4B - ESR1,Kdm4b-Esr1
BC,mouse,6,EP300 - ESR1,Ep300-Esr1
BC,mouse,6,NCOA6 - ESR1,Ncoa6-Esr1
