disease,species,module_id,module_size,node_conservation,edge_conservation,edges_evaluated,edges_conserved,topology_conservation
AD,yeast,17,38,0.3684210526315789,0.0,9,0,0.20879120879120883
AD,fly,17,38,0.631578947368421,0.0,22,0,0.0
AD,mouse,18,105,0.9333333333333333,0.0707070707070707,99,7,0.39649269628727934
AD,yeast,18,105,0.21904761904761905,0.0,1,0,0.0
AD,fly,18,105,0.5904761904761905,0.0,3,0,0.24528301886792456
AD,mouse,19,87,0.8735632183908046,0.06172839506172839,81,5,0.5297619047619048
AD,yeast,19,87,0.13793103448275862,0.0,2,0,0.25242914979757086
AD,fly,19,87,0.42528735632183906,0.0,9,0,0.0
AD,mouse,20,192,0.9114583333333334,0.14444444444444443,180,26,0.5038311323103747
AD,yeast,20,192,0.25,0.6521739130434783,23,15,0.6666666666666666
AD,fly,20,192,0.4635416666666667,0.12280701754385964,57,7,0.5185185185185185
AD,mouse,21,179,0.8770949720670391,0.06779661016949153,177,12,0.2725778945461142
AD,yeast,21,179,0.3407821229050279,0.3,60,18,0.5552486187845304
AD,fly,21,179,0.5810055865921788,0.0196078431372549,102,2,0.5050505050505051
AD,mouse,22,17,0.9411764705882353,0.0625,16,1,0.29791666666666666
AD,yeast,22,17,0.0,,0,0,0.0
AD,fly,22,17,0.17647058823529413,,0,0,0.0
PD,mouse,0,22,0.9545454545454546,0.0,20,0,0.0
PD,yeast,0,22,0.045454545454545456,,0,0,0.0
PD,fly,0,22,0.45454545454545453,0.0,9,0,0.0
PD,mouse,1,124,0.8870967741935484,0.21666666666666667,120,26,0.5774014580546136
PD,yeast,1,124,0.28225806451612906,0.1111111111111111,9,1,0.4371190340982167
PD,fly,1,124,0.5564516129032258,0.0,34,0,0.12048535406199641
PD,mouse,2,316,0.9177215189873418,0.054380664652567974,331,18,0.5245231607629428
PD,yeast,2,316,0.2848101265822785,,0,0,0.0
PD,fly,2,316,0.5411392405063291,0.07236842105263158,152,11,0.5186046511627906
PD,mouse,3,277,0.8880866425992779,0.06374501992031872,251,16,0.5311284046692607
PD,yeast,3,277,0.36462093862815886,0.08602150537634409,93,8,0.5052564211780219
PD,fly,3,277,0.5740072202166066,0.006172839506172839,162,1,0.4888486244015376
PD,mouse,4,197,0.9390862944162437,0.12272727272727273,220,27,0.5525291828793775
PD,yeast,4,197,0.20304568527918782,,0,0,0.5
PD,fly,4,197,0.5482233502538071,0.07042253521126761,71,5,0.5252525252525253
PD,mouse,5,114,0.9385964912280702,0.1834862385321101,109,20,0.5900900900900901
PD,yeast,5,114,0.20175438596491227,0.0,1,0,0.0
PD,fly,5,114,0.4824561403508772,0.029411764705882353,34,1,0.5066666666666667
PD,mouse,6,110,0.9,0.26605504587155965,109,29,0.6239316239316239
PD,yeast,6,110,0.2636363636363636,0.0,8,0,0.0
PD,fly,6,110,0.6454545454545455,0.0,43,0,0.0
PD,mouse,7,139,0.9568345323741008,0.05228758169934641,153,8,0.5248447204968945
PD,yeast,7,139,0.2446043165467626,,0,0,0.3712046444121916
